Season,Team,RB_RBR
2019,Lions,0.32371081450702816
2019,Packers,0.480570243670141
2019,Panthers,0.5858128863462753
2019,Patriots,0.4291760884340922
2019,Raiders,0.4153622235412225
2019,Rams,0.33699392252732585
2019,Ravens,0.33887607430212935
2019,Saints,0.3668610155459243
2019,Seahawks,0.4262671360319107
2019,Steelers,0.3041543091302941
2019,Texans,0.408430789742586
2019,Titans,0.6100863822220692
2019,Vikings,0.3847181122488472
2020,49ers,0.43092591072756203
2020,Bears,0.3147121892647696
2020,Bengals,0.4663654662967818
2020,Bills,0.19965314282831578
2020,Broncos,0.30190410102806325
2020,Browns,0.18482354065205528
2020,Buccaneers,0.2701322296788951
2020,Cardinals,0.20054271623435008
2020,Chargers,0.42064616139256455
2020,Chiefs,0.287723138451213
2020,Colts,0.34914383342401456
2020,Commanders,0.20892316775931002
2020,Cowboys,0.25024626753374973
2020,Dolphins,0.44083558573220216
2020,Eagles,0.1172661862095378
2020,Falcons,0.29470352905878555
2020,Giants,0.14582621791489747
2020,Jaguars,0.3499515976889009
2020,Jets,0.11958201678108585
2020,Lions,0.20201825796412248
2020,Packers,0.298192829767932
2020,Panthers,0.07818244731813435
2020,Patriots,0.36638154112773696
2020,Raiders,0.30074370153426827
2020,Rams,0.6594696322905935
2020,Ravens,0.47663820214079633
2020,Saints,0.30966320849680706
2020,Seahawks,0.4364601305473254
2020,Steelers,0.19909875408099734
2020,Texans,0.12646283183707904
2020,Titans,0.23315879101626683
2020,Vikings,0.2663267210637662
2022,49ers,0.3154678575029404
2022,Bears,0.1734345693461005
2022,Bengals,0.12205228144829496
2022,Bills,0.38367506455100087
2022,Broncos,0.41203474624751324
2022,Browns,0.14412494157606665
2022,Buccaneers,0.5472855892617547
2022,Cardinals,0.3711664625160896
2022,Chargers,0.12267942540688517
2022,Chiefs,0.4985129028406387
2022,Colts,0.5694733048399004
2022,Commanders,0.167541454361607
2022,Cowboys,0.04479641058762789
2022,Dolphins,0.44758351783578565
2022,Eagles,0.20792200751100628
2022,Falcons,0.42584299803995806
2022,Giants,0.0718046445824966
2022,Jaguars,0.17701214474122112
2022,Jets,0.3809343675251623
2022,Lions,0.1435753739527425
2022,Packers,0.26404525957251374
2022,Panthers,0.09239851513427369
2022,Patriots,0.32776532986422585
2022,Raiders,0.23257287654381512
2022,Rams,0.5573979312807735
2022,Ravens,0.4205020564246114
2022,Saints,0.29302434636224484
2022,Seahawks,0.10426774260639088
2022,Steelers,0.10804473542388449
2022,Texans,0.11118419983945027
2022,Titans,0.3032840079589747
2022,Vikings,0.1137609060395238
2023,49ers,0.30452832206262204
2023,Bears,0.501009002920877
2023,Bengals,0.20256521437071762
2023,Bills,0.3186413287730163
2023,Broncos,0.20346429169889788
2023,Browns,0.24830995463500452
2023,Buccaneers,0.14313816987132424
2023,Cardinals,0.13351679149269907
2023,Chargers,0.4834488637596085
2023,Chiefs,0.39859926770040366
2023,Colts,0.5563354368888862
2023,Commanders,0.4295747915818155
2023,Cowboys,0.2198171835615035
2023,Dolphins,0.2116473673138784
2023,Eagles,0.20478228631731038
2023,Falcons,0.26807431975632523
2023,Giants,0.14070890571037756
2023,Jaguars,0.1803756499746665
2023,Jets,0.3569810435691113
