Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
84,D.J. Moore,28,CHI,WR,17,17,,1,1,100.0,2,1,100.0,0,0.0,1,100.0,2,2.0,22.00,2.0,0.1,118.7,,0,0,0.00,2.00,22.00,0,0,,MoorD.00
85,Kyle Allen,29,DET,QB,3,0,,0,2,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,4.8,0,0,0.00,0.00,0.00,0,0,,AlleKy00
86,Corey Bojorquez,29,CLE,P,17,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,,BojoCo00
87,Treylon Burks,25,WAS,WR,8,3,,0,0,,0,0,,0,,0,,,,,,0.0,,0.7,1,0,100.00,0.00,0.00,0,0,,BurkTr00
88,RJ Harvey,24,DEN,RB,17,7,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,59.8,0,0,0.00,0.00,0.00,0,0,,HarvRJ00
89,Derrick Henry,31,BAL,RB,17,17,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,7.9,0,0,0.00,0.00,0.00,0,0,,HenrDe00
90,Joshua Karty,23,LAR,K,8,0,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,,KartJo00
91,Cole Kmet,26,CHI,TE,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2.0,0,0,0.00,0.00,0.00,0,0,,KmetCo00
92,Cooper Kupp,32,SEA,WR,16,15,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,KuppCo00
93,Marte Mapu,26,NWE,LB,17,0,,0,0,,0,0,,0,,0,,,,,,0.0,,,1,0,100.00,0.00,0.00,0,0,,MapuMa00
94,Christian McCaffrey,29,SFO,RB,17,17,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2.7,0,0,0.00,0.00,0.00,0,0,PBAP-1,McCaCh01
95,Chris Olave,25,NOR,WR,16,16,,0,1,0.0,0,0,0.0,1,100.0,0,,,0.0,-45.00,,0.0,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,AP-2,OlavCh00
96,Brett Rypien,29,CIN,QB,1,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,2,100.00,-2.00,-2.00,0,0,,RypiBr00
97,Courtland Sutton,30,DEN,WR,17,16,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,5,100.00,-5.00,-5.00,0,0,PB,SuttCo00
98,Tyler Warren,23,IND,TE,17,12,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,0.0,0,0,0.00,0.00,0.00,0,0,,WarrTy00
99,Isaiah Williams,24,NYJ,WR,15,2,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,1.3,0,0,0.00,0.00,0.00,0,0,,WillIs03
100,Kedon Slovis,24,ARI,QB,2,0,,1,2,50.0,-2,0,0.0,0,0.0,0,,,-1.0,-1.00,-2.0,-1.0,56.2,0.3,0,0,0.00,-1.00,-1.00,0,0,,SlovKe00
,League Average,,,,,,,,,64.3,,,4.7,,2.2,,45.2,,7.0,6.97,10.9,122.0,91.4,,,,6.87,6.09,6.04,,,,-9999
