 
,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
89,Dak Prescott,29,DAL,QB,12,12,45,182,1,19,51.1,25,4.0,15.2,3.8,4,,PresDa01
90,Tyler Huntley,24,BAL,QB,6,4,43,137,1,12,39.5,14,3.2,22.8,7.2,3,PB,HuntTy01
91,Jordan Mason,23,SFO,RB,16,0,43,258,1,10,58.1,55,6.0,16.1,2.7,0,,MasoJo00
92,Justin Jackson,26,DET,RB,16,0,42,170,1,8,45.2,27,4.0,10.6,2.6,0,,JackJu01
93,Dare Ogunbowale,28,HOU,RB,17,4,42,123,1,10,42.9,11,2.9,7.2,2.5,0,,OgunDa00
94,Deebo Samuel,26,SFO,WR,13,12,42,232,3,8,40.5,51,5.5,17.8,3.2,3,,SamuDe00
95,Royce Freeman,26,HOU,RB,4,1,41,117,0,7,39.0,11,2.9,29.3,10.3,1,,FreeRo00
96,Malik Davis,24,DAL,RB,12,0,38,161,1,6,39.5,23,4.2,13.4,3.2,0,,DaviMa02
97,Curtis Samuel,26,WAS,WR,17,12,38,187,1,11,44.7,21,4.9,11.0,2.2,1,,SamuCu00
98,Jonathan Williams,28,WAS,RB,13,2,37,152,0,6,43.2,23,4.1,11.7,2.8,0,,WillJo07
99,Sony Michel,27,LAC,RB,10,0,36,106,0,8,47.2,12,2.9,10.6,3.6,0,,MichSo00
100,Deshaun Watson,27,CLE,QB,6,6,36,175,1,10,47.2,21,4.9,29.2,6.0,1,,WatsDe00
101,DeeJay Dallas,24,SEA,RB,15,0,35,186,0,9,54.3,27,5.3,12.4,2.3,1,,DallDe00
102,Kyren Williams,22,LAR,RB,10,0,35,139,0,6,42.9,17,4.0,13.9,3.5,0,,WillKy02
103,Tyrion Davis-Price,22,SFO,RB,6,0,34,99,0,5,32.4,20,2.9,16.5,5.7,0,,DaviTy03
104,Aaron Rodgers,39,GNB,QB,17,17,34,94,1,9,32.4,18,2.8,5.5,2.0,8,,RodgAa00
105,Ryan Tannehill,34,TEN,QB,12,12,34,98,2,12,44.1,17,2.9,8.2,2.8,3,,TannRy00
106,Davis Mills,24,HOU,QB,15,15,32,108,2,8,28.1,17,3.4,7.2,2.1,8,,MillDa02
107,Gary Brightwell,23,NYG,RB,17,0,31,141,1,9,41.9,25,4.5,8.3,1.8,0,,BrigGa00
108,Kirk Cousins,34,MIN,QB,17,17,31,97,2,11,38.7,19,3.1,5.7,1.8,7,PB,CousKi00
109,Baker Mayfield,27,2TM,QB,12,10,31,89,1,7,29.0,17,2.9,7.4,2.6,9,,MayfBa00
109,Baker Mayfield,27,CAR,QB,7,6,16,52,1,5,25.0,17,3.3,7.4,2.3,6,,MayfBa00
109,Baker Mayfield,27,LAR,QB,5,4,15,37,0,2,33.3,11,2.5,7.4,3.0,3,,MayfBa00
110,Andy Dalton,35,NOR,QB,14,14,30,54,0,6,33.3,14,1.8,3.9,2.1,5,,DaltAn00
111,Ty Johnson,25,NYJ,RB,17,1,30,160,1,5,36.7,32,5.3,9.4,1.8,0,,JohnTy02
