,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
215,Doug Baldwin,28,SEA,WR,16,15,3,2,0,0,33.3,4,0.7,0.1,0.2,1,PB,BaldDo00
216,Joique Bell,30,2TM,RB,7,0,3,6,0,0,33.3,6,2.0,0.9,0.4,0,,BellJo01
216,Joique Bell,30,CHI,RB,4,0,3,6,0,0,33.3,6,2.0,1.5,0.8,0,,BellJo01
216,Joique Bell,30,DET,RB,3,0,0,0,0,0,,,,0.0,0.0,0,,BellJo01
217,Antonio Brown,28,PIT,WR,15,15,3,9,0,1,66.7,13,3.0,0.6,0.2,0,PBAP-1,BrowAn04
218,Michael Campanaro,25,BAL,WR,3,0,3,72,0,3,100.0,39,24.0,24.0,1.0,0,,CampMi02
219,Robbie Chosen,23,NYJ,WR,16,8,3,42,0,2,66.7,30,14.0,2.6,0.2,1,,AndeRo04
220,Stefon Diggs,23,MIN,WR,13,11,3,10,0,1,33.3,12,3.3,0.8,0.2,0,,DiggSt00
221,Chris Hogan,29,NWE,WR,15,14,3,9,0,0,33.3,6,3.0,0.6,0.2,1,,HogaCh00
222,Brett Hundley,23,GNB,QB,4,0,3,-2,0,0,33.3,,-0.7,-0.5,0.8,1,,HundBr00
223,Paul Lasike,26,CHI,RB,10,3,3,8,0,3,100.0,5,2.7,0.8,0.3,0,,LasiPa00
224,Tommylee Lewis,24,NOR,WR,12,1,3,11,0,1,33.3,7,3.7,0.9,0.3,2,,LewiTo00
225,Terrence Magee,23,SEA,RB,2,0,3,12,0,0,66.7,5,4.0,6.0,1.5,0,,MageTe00
226,Dexter McCluster,27,SDG,WR,6,0,3,2,0,0,0.0,2,0.7,0.3,0.5,0,,McClDe00
227,Matt McGloin,27,OAK,QB,3,1,3,-3,0,0,0.0,-1,-1.0,-1.0,1.0,0,,McGlMa01
228,Braxton Miller,24,HOU,WR,10,6,3,0,0,0,0.0,,0.0,0.0,0.3,0,,MillBr03
229,Chris Moore,23,BAL,WR,15,0,3,19,0,1,66.7,10,6.3,1.3,0.2,1,,MoorCh00
230,Stevan Ridley,27,ATL,RB,1,0,3,7,0,1,33.3,7,2.3,7.0,3.0,0,,RidlSt00
231,Sterling Shepard,23,NYG,WR,16,16,3,31,0,1,66.7,22,10.3,1.9,0.2,0,,ShepSt00
232,Drew Stanton,32,ARI,QB,5,1,3,-3,0,0,0.0,-1,-1.0,-0.6,0.6,0,,StanDr00
233,Brandon Tate,29,BUF,WR,15,1,3,48,0,2,100.0,30,16.0,3.2,0.2,0,,TateBr00
234,Antonio Andrews,24,TEN,RB,16,0,2,15,0,0,50.0,9,7.5,0.9,0.1,0,,AndrAn00
235,Demarcus Ayers,22,PIT,WR,2,1,2,-12,0,0,0.0,,-6.0,-6.0,1.0,0,,AyerDe00
236,Joe Banyard,28,JAX,RB,1,0,2,7,0,0,0.0,7,3.5,7.0,2.0,0,,BanyJo00
237,Travis Benjamin,27,SDG,WR,14,8,2,-3,0,0,0.0,-1,-1.5,-0.2,0.1,5,,BenjTr00
238,Martellus Bennett,29,NWE,TE,16,12,2,10,0,0,100.0,6,5.0,0.6,0.1,0,,BennMa00
239,Corey Brown,25,CAR,WR,16,8,2,6,0,0,50.0,9,3.0,0.4,0.1,1,,BrowPh00
240,Brandon Burks,23,NYJ,RB,1,0,2,-4,0,0,0.0,1,-2.0,-4.0,2.0,0,,BurkBr00
241,Kellen Clemens,33,SDG,QB,12,0,2,-1,0,0,0.0,,-0.5,-0.1,0.2,0,,ClemKe00
242,Corey Coleman,22,CLE,WR,10,10,2,10,0,0,50.0,9,5.0,1.0,0.2,0,,ColeCo00
243,Jamison Crowder,23,WAS,WR,16,9,2,-2,0,1,50.0,7,-1.0,-0.1,0.1,2,,CrowJa00
244,Phillip Dorsett,23,IND,WR,15,7,2,10,0,1,50.0,7,5.0,0.7,0.1,1,,DorsPh00
245,Larry Fitzgerald,33,ARI,WR,16,16,2,5,0,0,50.0,4,2.5,0.3,0.1,2,PB,FitzLa00
246,Andrew Hawkins,30,CLE,WR,16,5,2,0,0,0,0.0,,0.0,0.0,0.1,0,,HawkAn00
247,Bronson Hill,23,JAX,RB,3,0,2,11,0,0,100.0,7,5.5,3.7,0.7,0,,HillBr01
248,Jeff Janis,25,GNB,WR,16,1,2,38,1,2,100.0,19,19.0,2.4,0.1,0,,JaniJe00
249,Marquette King,28,OAK,P,16,0,2,27,0,0,0.0,27,13.5,1.7,0.1,1,AP-2,KingMa00
250,Sam Koch,34,BAL,P,16,0,2,-23,0,0,0.0,,-11.5,-1.4,0.1,0,,KochSa20
251,Marcel Reece,31,SEA,RB,4,0,2,0,0,0,0.0,,0.0,0.0,0.5,0,,ReecMa00
252,Daryl Richardson,26,PIT,RB,3,0,2,7,0,0,50.0,6,3.5,2.3,0.7,0,,RichDa00
253,Jon Ryan,35,SEA,P,16,0,2,26,0,1,50.0,26,13.0,1.6,0.1,3,,RyanJo21
254,Matt Schaub,35,ATL,QB,4,0,2,-2,0,0,0.0,-1,-1.0,-0.5,0.5,0,,SchaMa00
255,Geno Smith,26,NYJ,QB,2,1,2,9,0,1,50.0,7,4.5,4.5,1.0,1,,SmitGe00
256,Keith Smith,24,DAL,DB,16,1,2,5,0,2,100.0,3,2.5,0.3,0.1,0,,SmitKe03
257,Adam Thielen,26,MIN,WR,16,10,2,15,0,1,100.0,11,7.5,0.9,0.1,2,,ThieAd00
258,Bryce Treggs,22,PHI,WR,9,1,2,7,0,2,100.0,4,3.5,0.8,0.2,0,,TregBr00
259,Will Tukuafu,32,SEA,FB,7,1,2,2,0,0,0.0,2,1.0,0.3,0.3,0,,TukuWi00
260,Delanie Walker,32,TEN,TE,15,9,2,11,0,0,0.0,8,5.5,0.7,0.1,1,PB,WalkHu00
261,Derek Watt,24,SDG,FB,16,2,2,4,0,2,100.0,2,2.0,0.3,0.1,0,,WattDe00
262,Charlie Whitehurst,34,CLE,QB,1,0,2,1,0,0,0.0,2,0.5,1.0,2.0,0,,WhitCh02
263,Albert Wilson,24,KAN,WR,16,5,2,50,1,1,50.0,55,25.0,3.1,0.1,0,,WilsAl02
264,James Wright,25,CIN,WR,13,2,2,-6,0,1,50.0,2,-3.0,-0.5,0.2,0,,WrigJa03
265,Shane Wynn,24,JAX,WR,5,0,2,5,0,0,50.0,7,2.5,1.0,0.4,0,,WynnSh00
266,Bralon Addison,23,CHI,WR,2,0,1,4,0,1,100.0,4,4.0,2.0,0.5,1,,AddiBr01
267,Derek Anderson,33,CAR,QB,5,2,1,4,0,0,100.0,4,4.0,0.8,0.2,1,,AndeDe00
268,Cole Beasley,27,DAL,WR,16,6,1,7,0,0,100.0,7,7.0,0.4,0.1,0,,BeasCo00
269,Odell Beckham Jr.,24,NYG,WR,16,16,1,9,0,0,100.0,9,9.0,0.6,0.1,3,PBAP-2,BeckOd00
270,Jordan Berry,25,PIT,P,16,0,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,1,,BerrJo00
271,Antwon Blake,26,TEN,DB,16,1,1,-2,0,0,0.0,-2,-2.0,-0.1,0.1,0,,BlakAn00
272,Brandon Bolden,26,NWE,RB,14,0,1,4,0,0,100.0,4,4.0,0.3,0.1,0,,BoldBr00
273,Quan Bray,23,IND,WR,6,0,1,7,0,0,100.0,7,7.0,1.2,0.2,0,,BrayQu00
274,John Brown,26,ARI,WR,15,6,1,10,0,1,100.0,10,10.0,0.7,0.1,1,,BrowJo02
275,Drew Butler,27,ARI,P,7,0,1,0,0,0,0.0,,0.0,0.0,0.1,1,,ButlDr00
276,Amari Cooper,22,OAK,WR,16,14,1,0,0,0,0.0,,0.0,0.0,0.1,2,PB,CoopAm00
277,Matt Darr,24,MIA,P,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,2,,DarrMa00
278,Eric Ebron,23,DET,TE,13,13,1,1,1,1,100.0,1,1.0,0.1,0.1,0,,EbroEr00
279,Lac Edwards,24,NYJ,P,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,1,,EdwaLa01
280,Rhett Ellison,28,MIN,TE,15,6,1,1,1,1,100.0,1,1.0,0.1,0.1,0,,ElliRh00
281,Quincy Enunwa,24,NYJ,WR,16,13,1,12,0,1,100.0,12,12.0,0.8,0.1,0,,EnunQu00
282,Tyler Ervin,23,HOU,RB,12,0,1,3,0,0,0.0,3,3.0,0.3,0.1,3,,ErviTy00
283,David Fales,26,CHI,QB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,1,,FaleDa00
284,George Farmer,23,SEA,WR,2,0,1,1,0,0,0.0,1,1.0,0.5,0.5,0,,FarmGe02
285,Coby Fleener,28,NOR,TE,16,8,1,2,1,1,100.0,2,2.0,0.1,0.1,2,,FleeCo00
286,Jalston Fowler,26,TEN,RB,16,6,1,3,0,0,0.0,3,3.0,0.2,0.1,0,,FowlJa00
287,Will Fuller,22,HOU,WR,14,13,1,-3,0,0,0.0,-3,-3.0,-0.2,0.1,2,,FullWi01
288,Jimmy Graham,30,SEA,TE,16,15,1,0,0,0,0.0,,0.0,0.0,0.1,2,PB,GrahJi00
289,Jakeem Grant,24,MIA,WR,16,0,1,1,0,0,0.0,1,1.0,0.1,0.1,4,,GranJa00
290,Percy Harvin,28,BUF,WR,2,1,1,11,0,1,100.0,11,11.0,5.5,0.5,0,,HarvPe00
291,Chad Henne,31,JAX,QB,1,0,1,-2,0,0,0.0,-2,-2.0,-2.0,1.0,0,,HennCh01
292,Darrius Heyward-Bey,29,PIT,WR,10,0,1,60,1,1,100.0,60,60.0,6.0,0.1,0,,HeywDa00
293,Malcolm Johnson,24,CLE,TE,7,1,1,2,0,0,0.0,2,2.0,0.3,0.1,1,,JohnMa06
294,Cardale Jones,24,BUF,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,0,,JoneCa01
295,Chris Jones,27,DAL,P,16,0,1,30,0,1,100.0,30,30.0,1.9,0.1,0,,JoneCh02
296,Donnie Jones,36,PHI,P,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,1,,JoneDo21
297,Marvin Jones,26,DET,WR,15,15,1,3,0,0,0.0,3,3.0,0.2,0.1,0,,JoneMa02
298,Taiwan Jones,28,OAK,RB,13,0,1,-8,0,0,0.0,-8,-8.0,-0.6,0.1,0,,JoneTa00
299,Drew Kaser,23,SDG,P,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,1,,KaseDr00
300,Travis Kelce,27,KAN,TE,16,15,1,-5,0,0,0.0,-5,-5.0,-0.3,0.1,0,PBAP-1,KelcTr00
301,Joe Kerridge,24,GNB,RB,8,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,,KerrJo00
302,Brandon LaFell,30,CIN,WR,16,14,1,-2,0,0,0.0,-2,-2.0,-0.1,0.1,0,,LaFeBr00
303,Jeremy Maclin,28,KAN,WR,12,12,1,-1,0,0,0.0,-1,-1.0,-0.1,0.1,0,,MaclJe00
304,Sean Mannion,24,LAR,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,1,,MannSe00
305,Marc Mariani,29,TEN,WR,16,0,1,15,0,1,100.0,15,15.0,0.9,0.1,1,,MariMa00
306,Bradley Marquez,24,LAR,WR,14,0,1,2,0,0,0.0,2,2.0,0.1,0.1,0,,MarqBr00
307,Pat McAfee,29,IND,P,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,PB,McAfPa44
308,J.D. McKissic,23,SEA,RB,1,0,1,2,0,0,0.0,2,2.0,2.0,1.0,0,,McKiJ.00
309,Brandon McManus,25,DEN,K,16,0,1,6,0,0,0.0,6,6.0,0.4,0.1,0,,McMaBr01
310,Cameron Meredith,24,CHI,WR,14,10,1,6,0,0,100.0,6,6.0,0.4,0.1,3,,MereCa00
311,Donte Moncrief,23,IND,WR,9,7,1,-1,0,0,0.0,-1,-1.0,-0.1,0.1,0,,MoncDo00
312,Matt Moore,32,MIA,QB,4,3,1,-1,0,0,100.0,-1,-1.0,-0.3,0.3,1,,MoorMa01
313,Raheem Mostert,24,SFO,RB,1,0,1,6,0,0,100.0,6,6.0,6.0,1.0,0,,MostRa00
314,Jordan Norwood,30,DEN,WR,14,6,1,0,0,0,0.0,,0.0,0.0,0.1,5,,NorwJo00
315,Breshad Perriman,23,BAL,WR,16,1,1,2,0,0,0.0,2,2.0,0.1,0.1,0,,PerrBr02
316,Dontari Poe,26,KAN,NT,16,16,1,1,1,1,100.0,1,1.0,0.1,0.1,0,,PoexDo00
317,Chris Prosinski,29,CHI,DB,16,1,1,2,0,1,100.0,2,2.0,0.1,0.1,0,,ProsCh00
318,Paul Richardson,24,SEA,WR,15,0,1,5,0,1,100.0,5,5.0,0.3,0.1,0,,RichPa01
319,Eli Rogers,24,PIT,WR,13,8,1,6,0,0,100.0,6,6.0,0.5,0.1,2,,RogeEl00
320,Emmanuel Sanders,29,DEN,WR,16,16,1,4,0,0,100.0,4,4.0,0.3,0.1,1,PB,SandEm00
321,Mohamed Sanu,27,ATL,WR,15,15,1,5,0,0,100.0,5,5.0,0.3,0.1,1,,SanuMo00
322,Colton Schmidt,26,BUF,P,16,0,1,16,0,1,100.0,16,16.0,1.0,0.1,1,,SchmCo00
323,Tajae Sharpe,22,TEN,WR,16,10,1,1,0,0,0.0,1,1.0,0.1,0.1,0,,SharTa00
324,Russell Shepard,26,TAM,WR,14,4,1,9,0,0,100.0,9,9.0,0.6,0.1,0,,ShepRu00
325,Matthew Slater,31,NWE,WR,13,0,1,5,0,1,100.0,5,5.0,0.4,0.1,2,PBAP-1,SlatMa00
326,Lorenzo Taliaferro,25,BAL,RB,3,0,1,0,0,0,0.0,,0.0,0.0,0.3,0,,TaliLo00
327,Bryan Walters,29,JAX,WR,10,3,1,4,0,1,100.0,4,4.0,0.4,0.1,1,,WaltBr00
328,Kevin White,24,CHI,WR,4,4,1,9,0,0,100.0,9,9.0,2.3,0.3,0,,WhitKe00
329,Robert Woods,24,BUF,WR,13,10,1,6,0,1,100.0,6,6.0,0.5,0.1,0,,WoodRo02
330,Kendall Wright,27,TEN,WR,11,4,1,15,0,1,100.0,15,15.0,1.4,0.1,0,,WrigKe01
331,Jared Abbrederis,26,GNB,WR,5,0,0,0,0,0,,,,0.0,0.0,0,,AbbrJa00
332,Davante Adams,24,GNB,WR,16,15,0,0,0,0,,,,0.0,0.0,2,,AdamDa01
333,Jerell Adams,24,NYG,TE,13,2,0,0,0,0,,,,0.0,0.0,1,,AdamJe01
334,Kamar Aiken,27,BAL,WR,16,6,0,0,0,0,,,,0.0,0.0,0,,AikeKa00
335,Dwayne Allen,26,IND,TE,14,14,0,0,0,0,,,,0.0,0.0,1,,AlleDw00
336,Keenan Allen,24,SDG,WR,1,1,0,0,0,0,,,,0.0,0.0,0,,AlleKe00
337,Geronimo Allison,22,GNB,WR,10,2,0,0,0,0,,,,0.0,0.0,0,,AlliGe01
338,Jace Amaro,24,TEN,TE,3,0,0,0,0,0,,,,0.0,0.0,0,,AmarJa00
339,Danny Amendola,31,NWE,WR,12,4,0,0,0,0,,,,0.0,0.0,3,,AmenDa00
340,Stephen Anderson,23,HOU,TE,13,0,0,0,0,0,,,,0.0,0.0,0,,AndeSt01
341,Gary Barnidge,31,CLE,TE,16,16,0,0,0,0,,,,0.0,0.0,0,,BarnGa01
342,Blake Bell,25,SFO,TE,13,0,0,0,0,0,,,,0.0,0.0,0,,BellBl00
343,Kelvin Benjamin,25,CAR,WR,16,13,0,0,0,0,,,,0.0,0.0,1,,BenjKe00
344,Arrelious Benn,28,JAX,WR,15,0,0,0,0,0,,,,0.0,0.0,0,,BennAr00
345,Brenton Bersin,26,CAR,WR,10,0,0,0,0,0,,,,0.0,0.0,0,,BersBr00
346,Anquan Boldin,36,DET,WR,16,16,0,0,0,0,,,,0.0,0.0,0,,BoldAn00
347,Brandon Bostick,27,NYJ,TE,16,7,0,0,0,0,,,,0.0,0.0,0,,BostBr00
348,Braedon Bowman,22,NYJ,TE,3,0,0,0,0,0,,,,0.0,0.0,0,,BowmBr00
349,Nick Boyle,23,BAL,TE,6,0,0,0,0,0,,,,0.0,0.0,0,,BoylNi00
350,Cameron Brate,25,TAM,TE,15,10,0,0,0,0,,,,0.0,0.0,1,,BratCa00
351,Ben Braunecker,22,CHI,TE,13,2,0,0,0,0,,,,0.0,0.0,0,,BrauBe00
352,Daniel Braverman,23,CHI,WR,3,0,0,0,0,0,,,,0.0,0.0,0,,BravDa00
353,Kenny Britt,28,LAR,WR,15,15,0,0,0,0,,,,0.0,0.0,2,,BritKe00
354,Daniel Brown,24,CHI,WR,6,3,0,0,0,0,,,,0.0,0.0,0,,BrowDa04
355,Jaron Brown,26,ARI,WR,7,2,0,0,0,0,,,,0.0,0.0,0,,BrowJa03
356,Dez Bryant,28,DAL,WR,13,13,0,0,0,0,,,,0.0,0.0,1,PB,BryaDe01
357,Aaron Burbridge,23,SFO,WR,16,3,0,0,0,0,,,,0.0,0.0,1,,BurbAa00
358,Isaiah Burse,25,SDG,WR,9,1,0,0,0,0,,,,0.0,0.0,0,,BursIs01
359,Michael Burton,24,DET,RB,15,0,0,0,0,0,,,,0.0,0.0,0,,BurtMi00
360,Trey Burton,25,PHI,TE,15,4,0,0,0,0,,,,0.0,0.0,0,,BurtTr01
361,Brice Butler,26,DAL,WR,16,3,0,0,0,0,,,,0.0,0.0,0,,ButlBr00
362,Jeremy Butler,25,SDG,WR,4,0,0,0,0,0,,,,0.0,0.0,0,,ButlJe01
363,Damiere Byrd,23,CAR,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,ByrdDa00
364,Jordan Cameron,28,MIA,TE,3,3,0,0,0,0,,,,0.0,0.0,0,,CameJo00
365,Derek Carrier,26,WAS,TE,8,0,0,0,0,0,,,,0.0,0.0,0,,CarrDe00
366,Leonte Carroo,22,MIA,WR,14,2,0,0,0,0,,,,0.0,0.0,0,,CarrLe00
367,Brent Celek,31,PHI,TE,16,8,0,0,0,0,,,,0.0,0.0,1,,CeleBr00
368,Garrett Celek,28,SFO,TE,16,6,0,0,0,0,,,,0.0,0.0,2,,CeleGa00
369,Gerald Christian,25,BUF,TE,3,0,0,0,0,0,,,,0.0,0.0,0,,ChriGe00
370,Charles Clay,27,BUF,TE,15,15,0,0,0,0,,,,0.0,0.0,0,,ClayCh00
371,Brandon Coleman,24,NOR,WR,16,4,0,0,0,0,,,,0.0,0.0,0,,ColeBr00
372,Chris Conley,24,KAN,WR,16,11,0,0,0,0,,,,0.0,0.0,1,,ConlCh00
373,Jared Cook,29,GNB,TE,10,5,0,0,0,0,,,,0.0,0.0,1,,CookJa02
374,Pharoh Cooper,21,LAR,WR,10,3,0,0,0,0,,,,0.0,0.0,0,,CoopPh00
375,Cody Core,22,CIN,WR,8,4,0,0,0,0,,,,0.0,0.0,0,,CoreCo00
376,Michael Crabtree,29,OAK,WR,16,16,0,0,0,0,,,,0.0,0.0,2,,CrabMi00
377,Alan Cross,23,TAM,TE,14,0,0,0,0,0,,,,0.0,0.0,0,,CrosAl00
378,Victor Cruz,30,NYG,WR,15,12,0,0,0,0,,,,0.0,0.0,1,,CruzVi00
379,Geremy Davis,24,SDG,WR,3,0,0,0,0,0,,,,0.0,0.0,0,,DaviGe00
380,Kellen Davis,31,NYJ,TE,8,7,0,0,0,0,,,,0.0,0.0,0,,DaviKe01
381,Trevor Davis,23,GNB,WR,11,0,0,0,0,0,,,,0.0,0.0,2,,DaviTr03
382,Vernon Davis,32,WAS,TE,16,14,0,0,0,0,,,,0.0,0.0,0,,DaviVe00
383,Eric Decker,29,NYJ,WR,3,3,0,0,0,0,,,,0.0,0.0,0,,DeckEr00
384,A.J. Derby,25,DEN,TE,6,3,0,0,0,0,,,,0.0,0.0,1,,DerbA.00
385,Seth Devalve,23,CLE,TE,12,2,0,0,0,0,,,,0.0,0.0,0,,DevaSe00
386,James Develin,28,NWE,RB,16,4,0,0,0,0,,,,0.0,0.0,0,,DeveJa00
387,Ed Dickson,29,CAR,TE,16,8,0,0,0,0,,,,0.0,0.0,0,,DickEd00
388,Patrick DiMarco,27,ATL,RB,16,8,0,0,0,0,,,,0.0,0.0,0,,DiMaPa00
389,Josh Doctson,24,WAS,WR,2,0,0,0,0,0,,,,0.0,0.0,0,,DoctJo00
390,Larry Donnell,28,NYG,TE,14,6,0,0,0,0,,,,0.0,0.0,1,,DonnLa00
391,Harry Douglas,32,TEN,WR,11,2,0,0,0,0,,,,0.0,0.0,0,,DougHa00
392,Jack Doyle,26,IND,TE,16,14,0,0,0,0,,,,0.0,0.0,1,,DoylJa00
393,Quinton Dunbar,24,WAS,DB,14,2,0,0,0,0,,,,0.0,0.0,1,,DunbQu00
394,Tyler Eifert,26,CIN,TE,8,2,0,0,0,0,,,,0.0,0.0,0,,EifeTy00
395,Alex Ellis,23,JAX,TE,6,3,0,0,0,0,,,,0.0,0.0,0,,ElliAl01
396,Alex Erickson,24,CIN,WR,16,0,0,0,0,0,,,,0.0,0.0,3,,EricAl01
397,Zach Ertz,26,PHI,TE,14,12,0,0,0,0,,,,0.0,0.0,0,,ErtzZa00
398,Gavin Escobar,25,DAL,TE,16,1,0,0,0,0,,,,0.0,0.0,0,,EscoGa00
399,Mike Evans,23,TAM,WR,16,16,0,0,0,0,,,,0.0,0.0,0,PBAP-2,EvanMi00
400,Anthony Fasano,32,TEN,TE,16,10,0,0,0,0,,,,0.0,0.0,0,,FasaAn00
401,Darren Fells,30,ARI,TE,14,7,0,0,0,0,,,,0.0,0.0,0,,FellDa01
402,C.J. Fiedorowicz,25,HOU,TE,15,15,0,0,0,0,,,,0.0,0.0,1,,FiedC.00
403,Eric Fisher,25,KAN,LT,16,16,0,0,0,0,,,,0.0,0.0,1,,FishEr00
404,Jake Fisher,23,CIN,T,15,3,0,0,0,0,,,,0.0,0.0,1,,FishJa00
405,Michael Floyd,27,2TM,WR,15,8,0,0,0,0,,,,0.0,0.0,0,,FloyMi00
405,Michael Floyd,27,ARI,WR,13,7,0,0,0,0,,,,0.0,0.0,0,,FloyMi00
405,Michael Floyd,27,NWE,WR,2,1,0,0,0,0,,,,0.0,0.0,0,,FloyMi00
406,Bennie Fowler,25,DEN,WR,13,0,0,0,0,0,,,,0.0,0.0,0,,FowlBe00
407,Isaac Fruechte,25,MIN,WR,1,0,0,0,0,0,,,,0.0,0.0,0,,FrueIs00
408,Devin Funchess,22,CAR,WR,15,7,0,0,0,0,,,,0.0,0.0,0,,FuncDe00
409,Pierre Garcon,30,WAS,WR,16,16,0,0,0,0,,,,0.0,0.0,0,,GarcPi00
410,Antonio Gates,36,SDG,TE,14,9,0,0,0,0,,,,0.0,0.0,1,,GateAn00
411,Crockett Gillmore,25,BAL,TE,7,5,0,0,0,0,,,,0.0,0.0,0,,GillCr00
412,Brittan Golden,28,ARI,WR,12,1,0,0,0,0,,,,0.0,0.0,1,,GoldBr00
413,Marquise Goodwin,26,BUF,WR,15,9,0,0,0,0,,,,0.0,0.0,0,,GoodMa00
414,Ryan Grant,26,WAS,WR,16,1,0,0,0,0,,,,0.0,0.0,0,,GranRy01
415,MarQueis Gray,27,MIA,TE,16,7,0,0,0,0,,,,0.0,0.0,0,,GrayMa00
416,A.J. Green,28,CIN,WR,10,10,0,0,0,0,,,,0.0,0.0,0,PB,GreeA.00
417,Ladarius Green,26,PIT,TE,6,2,0,0,0,0,,,,0.0,0.0,0,,GreeLa00
418,Virgil Green,28,DEN,TE,12,11,0,0,0,0,,,,0.0,0.0,0,,GreeVi00
419,Dorial Green-Beckham,23,PHI,WR,15,7,0,0,0,0,,,,0.0,0.0,0,,GreeDo00
420,Rashad Greene,24,JAX,WR,8,0,0,0,0,0,,,,0.0,0.0,4,,GreeRa00
421,Jermaine Gresham,28,ARI,TE,16,14,0,0,0,0,,,,0.0,0.0,1,,GresJe00
422,Ryan Griffin,26,HOU,TE,16,5,0,0,0,0,,,,0.0,0.0,1,,GrifRy00
423,Xavier Grimble,24,PIT,TE,13,2,0,0,0,0,,,,0.0,0.0,0,,GrimXa00
424,Rob Gronkowski,27,NWE,TE,8,6,0,0,0,0,,,,0.0,0.0,0,,GronRo00
425,Cobi Hamilton,26,PIT,WR,11,8,0,0,0,0,,,,0.0,0.0,0,,HamiCo00
426,Connor Hamlett,24,CLE,TE,3,2,0,0,0,0,,,,0.0,0.0,0,,HamlCo01
427,Je'Ron Hamm,24,SFO,TE,5,0,0,0,0,0,,,,0.0,0.0,0,,HammJe01
428,Clay Harbor,29,DET,TE,12,2,0,0,0,0,,,,0.0,0.0,0,,HarbCl00
429,Justin Hardy,25,ATL,WR,16,3,0,0,0,0,,,,0.0,0.0,0,,HardJu00
430,Chris Harper,23,SFO,WR,9,2,0,0,0,0,,,,0.0,0.0,0,,HarpCh01
431,Demetrius Harris,25,KAN,WR,16,11,0,0,0,0,,,,0.0,0.0,1,,HarrDe03
432,Dwayne Harris,29,NYG,WR,16,1,0,0,0,0,,,,0.0,0.0,3,PB,HarrDw00
433,Maurice Harris,24,WAS,WR,10,0,0,0,0,0,,,,0.0,0.0,1,,HarrMa05
434,Hunter Henry,22,SDG,TE,15,10,0,0,0,0,,,,0.0,0.0,1,,HenrHu00
435,Jeff Heuerman,24,DEN,TE,12,2,0,0,0,0,,,,0.0,0.0,0,,HeueJe00
436,Ryan Hewitt,25,CIN,TE,16,11,0,0,0,0,,,,0.0,0.0,0,,HewiRy00
437,Tyler Higbee,23,LAR,TE,16,7,0,0,0,0,,,,0.0,0.0,0,,HigbTy00
438,Rashard Higgins,22,CLE,WR,16,0,0,0,0,0,,,,0.0,0.0,0,,HiggRa00
439,Josh Hill,26,NOR,TE,9,8,0,0,0,0,,,,0.0,0.0,0,,HillJo02
440,T.Y. Hilton,27,IND,WR,16,16,0,0,0,0,,,,0.0,0.0,0,PB,HiltT.00
441,Andre Holmes,28,OAK,WR,16,2,0,0,0,0,,,,0.0,0.0,0,,HolmAn00
442,Austin Hooper,22,ATL,TE,14,3,0,0,0,0,,,,0.0,0.0,0,,HoopAu00
443,DeAndre Hopkins,24,HOU,WR,16,16,0,0,0,0,,,,0.0,0.0,0,,HopkDe00
444,Justin Hunter,25,BUF,WR,12,5,0,0,0,0,,,,0.0,0.0,0,,HuntJu00
445,Allen Hurns,25,JAX,WR,11,11,0,0,0,0,,,,0.0,0.0,1,,HurnAl01
446,Dontrelle Inman,27,SDG,WR,16,16,0,0,0,0,,,,0.0,0.0,0,,InmaDo00
447,DeSean Jackson,30,WAS,WR,15,15,0,0,0,0,,,,0.0,0.0,0,,JackDe00
448,Vincent Jackson,33,TAM,WR,5,5,0,0,0,0,,,,0.0,0.0,0,,JackVi00
449,Jesse James,22,PIT,TE,16,13,0,0,0,0,,,,0.0,0.0,0,,JameJe00
450,Alshon Jeffery,26,CHI,WR,12,12,0,0,0,0,,,,0.0,0.0,0,,JeffAl00
451,Andre Johnson,35,TEN,WR,8,4,0,0,0,0,,,,0.0,0.0,0,,JohnAn02
452,Charles Johnson,27,MIN,WR,16,7,0,0,0,0,,,,0.0,0.0,0,,JohnCh08
453,David Johnson,29,PIT,TE,16,5,0,0,0,0,,,,0.0,0.0,0,,JohnDa05
454,Dominique Jones,29,MIA,TE,9,2,0,0,0,0,,,,0.0,0.0,0,,JoneDo01
455,Julio Jones,27,ATL,WR,14,14,0,0,0,0,,,,0.0,0.0,0,PBAP-1,JoneJu02
456,T.J. Jones,24,DET,WR,3,0,0,0,0,0,,,,0.0,0.0,0,,JoneT.00
457,Jermaine Kearse,26,SEA,WR,16,15,0,0,0,0,,,,0.0,0.0,0,,KearJe01
458,Lance Kendricks,28,LAR,TE,16,16,0,0,0,0,,,,0.0,0.0,1,,KendLa00
459,Jeremy Kerley,28,SFO,WR,16,13,0,0,0,0,,,,0.0,0.0,4,,KerlJe00
